x	y 	z	prob	kg/s	T 
427603	4519562	0	1	0.026	300
427618	4519562	0	1	0.044	300
427633	4519562	0	1	0.066	300
427648	4519562	0	1	0.058	300
427663	4519562	0	1	0.051	300
427678	4519562	0	1	0.048	300
427693	4519562	0	1	0.034	300
427708	4519562	0	1	0.025	300
427723	4519562	0	1	0.017	300
427738	4519562	0	1	0.011	300
427753	4519562	0	1	0.0079	300
427768	4519562	0	1	0.0044	300
427783	4519562	0	1	0.004	300
427798	4519562	0	1	0.0031	300
427813	4519562	0	1	0.0022	300
427828	4519562	0	1	0.0016	300
427843	4519562	0	1	0.0012	300
427858	4519562	0	1	0.0011	300
427873	4519562	0	1	0.0012	300
427888	4519562	0	1	0.0018	300
427903	4519562	0	1	0.0026	300
427918	4519562	0	1	0.0047	300
427933	4519562	0	1	0.0063	300
427948	4519562	0	1	0.011	300
427963	4519562	0	1	0.016	300
427978	4519562	0	1	0.02	300
427993	4519562	0	1	0.023	300
428008	4519562	0	1	0.03	300
428023	4519562	0	1	0.036	300
428038	4519562	0	1	0.036	300
428053	4519562	0	1	0.032	300
428068	4519562	0	1	0.032	300
428083	4519562	0	1	0.023	300
428098	4519562	0	1	0.016	300
428113	4519562	0	1	0.0098	300
428128	4519562	0	1	0.01	300
428143	4519562	0	1	0.01	300
428158	4519562	0	1	0.012	300
428173	4519562	0	1	0.011	300
428188	4519562	0	1	0.0076	300
428203	4519562	0	1	0.0087	300
428218	4519562	0	1	0.0052	300
428233	4519562	0	1	0.0043	300
428248	4519562	0	1	0.0031	300
428263	4519562	0	1	0.0022	300
428278	4519562	0	1	0.0024	300
428293	4519562	0	1	0.0029	300
428308	4519562	0	1	0.0037	300
428323	4519562	0	1	0.0043	300
428338	4519562	0	1	0.0048	300
427213	4519577	0	1	0.0029	300
427228	4519577	0	1	0.002	300
427243	4519577	0	1	0.0025	300
427258	4519577	0	1	0.0022	300
427273	4519577	0	1	0.002	300
427288	4519577	0	1	0.0019	300
427303	4519577	0	1	0.0015	300
427318	4519577	0	1	0.0014	300
427333	4519577	0	1	0.0011	300
427348	4519577	0	1	0.00095	300
427363	4519577	0	1	0.00095	300
427378	4519577	0	1	0.0018	300
427393	4519577	0	1	0.0022	300
427408	4519577	0	1	0.0033	300
427423	4519577	0	1	0.0041	300
427438	4519577	0	1	0.0064	300
427453	4519577	0	1	0.0052	300
427468	4519577	0	1	0.0061	300
427483	4519577	0	1	0.0068	300
427498	4519577	0	1	0.0061	300
427513	4519577	0	1	0.0043	300
427528	4519577	0	1	0.0035	300
427543	4519577	0	1	0.0023	300
427558	4519577	0	1	0.003	300
427573	4519577	0	1	0.0078	300
427588	4519577	0	1	0.016	300
427603	4519577	0	1	0.025	300
427618	4519577	0	1	0.042	300
427633	4519577	0	1	0.063	300
427648	4519577	0	1	0.077	300
427663	4519577	0	1	0.081	300
427678	4519577	0	1	0.074	300
427693	4519577	0	1	0.065	300
427708	4519577	0	1	0.049	300
427723	4519577	0	1	0.026	300
427738	4519577	0	1	0.02	300
427753	4519577	0	1	0.011	300
427768	4519577	0	1	0.0076	300
427783	4519577	0	1	0.0041	300
427798	4519577	0	1	0.0032	300
427813	4519577	0	1	0.0029	300
427828	4519577	0	1	0.0018	300
427843	4519577	0	1	0.0014	300
427858	4519577	0	1	0.0012	300
427873	4519577	0	1	0.0013	300
427888	4519577	0	1	0.0016	300
427903	4519577	0	1	0.0022	300
427918	4519577	0	1	0.0034	300
427933	4519577	0	1	0.008	300
427948	4519577	0	1	0.012	300
427963	4519577	0	1	0.021	300
427978	4519577	0	1	0.025	300
427993	4519577	0	1	0.038	300
428008	4519577	0	1	0.051	300
428023	4519577	0	1	0.06	300
428038	4519577	0	1	0.064	300
428053	4519577	0	1	0.06	300
428068	4519577	0	1	0.049	300
428083	4519577	0	1	0.039	300
428098	4519577	0	1	0.025	300
428113	4519577	0	1	0.019	300
428128	4519577	0	1	0.016	300
428143	4519577	0	1	0.017	300
428158	4519577	0	1	0.014	300
428173	4519577	0	1	0.011	300
428188	4519577	0	1	0.011	300
428203	4519577	0	1	0.0082	300
428218	4519577	0	1	0.0048	300
428233	4519577	0	1	0.0033	300
428248	4519577	0	1	0.0024	300
428263	4519577	0	1	0.0027	300
428278	4519577	0	1	0.0026	300
428293	4519577	0	1	0.0022	300
428308	4519577	0	1	0.0023	300
428323	4519577	0	1	0.003	300
428338	4519577	0	1	0.0031	300
428353	4519577	0	1	0.0041	300
427198	4519592	0	1	0.0043	300
427213	4519592	0	1	0.0031	300
427228	4519592	0	1	0.003	300
427243	4519592	0	1	0.0032	300
427258	4519592	0	1	0.0039	300
427273	4519592	0	1	0.0037	300
427288	4519592	0	1	0.0032	300
427303	4519592	0	1	0.0025	300
427318	4519592	0	1	0.0024	300
427333	4519592	0	1	0.0014	300
427348	4519592	0	1	0.0011	300
427363	4519592	0	1	0.0013	300
427378	4519592	0	1	0.0015	300
427393	4519592	0	1	0.0021	300
427408	4519592	0	1	0.0024	300
427423	4519592	0	1	0.0041	300
427438	4519592	0	1	0.0048	300
427453	4519592	0	1	0.0049	300
427468	4519592	0	1	0.006	300
427483	4519592	0	1	0.0063	300
427498	4519592	0	1	0.0054	300
427513	4519592	0	1	0.0049	300
427528	4519592	0	1	0.0041	300
427543	4519592	0	1	0.0023	300
427558	4519592	0	1	0.003	300
427573	4519592	0	1	0.0067	300
427588	4519592	0	1	0.012	300
427603	4519592	0	1	0.022	300
427618	4519592	0	1	0.032	300
427633	4519592	0	1	0.053	300
427648	4519592	0	1	0.085	300
427663	4519592	0	1	0.11	300
427678	4519592	0	1	0.096	300
427693	4519592	0	1	0.082	300
427708	4519592	0	1	0.058	300
427723	4519592	0	1	0.047	300
