CO2/H2O,H2S/H2O,CO2,H2S
0.0255,0.0361,,
0.0256,0.0353,,
0.0257,0.0357,,
0.0257,0.0346,,
0.0259,0.0346,,
0.026,0.0467,,
0.026,0.0356,,
0.026,0.036,,
0.0261,0.0357,,
0.026,0.0358,,
0.0263,0.036,,
0.0264,0.035,,
0.0264,0.0352,,
0.0264,0.0351,,
0.0265,0.035,,
0.027,0.0357,,
0.0265,0.0354,,
0.027,0.0464,,
0.0267,0.033,,
0.027,0.0355,,
0.027,0.0363,,
0.027,0.0352,,
0.027,0.0355,,
0.027,0.0336,,
0.027,0.0362,,
0.027,0.0358,,
0.027,0.0353,,
0.027,0.0352,,
0.027,0.0204,,
0.0269,0.0144,,
0.027,0.0101,,
0.027,0.0103,,
0.027,0.0103,,
0.027,0.0102,,
0.027,0.009,,
0.027,0.0088,,
0.027,0.0095,,
0.027,0.0095,,
0.027,0.0092,,
0.027,0.01,,
0.027,0.0099,,
0.027,0.0105,,
0.027,0.0084,,
0.027,0.009,,
0.027,0.0093,,
0.027,0.009,,
0.027,0.0086,,
0.027,0.0096,,
0.027,0.01,,
0.027,0.01,,
0.0271,0.0084,,
0.027,0.01,,
0.0271,0.0104,,
0.027,0.0098,,
0.027,0.0091,,
0.027,0.0094,,
0.027,0.0091,,
0.027,0.0096,,
0.027,0.0092,,
0.027,0.01,,
0.027,0.0094,,
0.027,0.0093,,
0.027,0.0099,,
0.027,0.0096,,
0.027,0.0101,,
0.027,0.0099,,
0.027,0.0095,,
0.027,0.0094,,
0.027,0.0094,,
0.027,0.0099,,
0.027,0.0092,,
0.027,0.0095,,
0.027,0.0101,,
0.027,0.01,,
0.027,0.0091,,
0.027,0.0088,,
0.027,0.0098,,
0.027,0.0118,,
0.027,0.0108,,
0.027,0.0104,,
0.027,0.0102,,
0.027,0.0109,,
0.027,0.0111,,
0.027,0.0101,,
0.027,0.0101,,
0.027,0.0113,,
0.027,0.0109,,
0.027,0.0097,,
0.027,0.0117,,
0.027,0.0102,,
0.027,0.011,,
0.027,0.0105,,
0.027,0.011,,
0.028,0.0112,,
0.028,0.0112,,
0.028,0.0113,,
0.028,0.0109,,
0.028,0.0108,,
0.0276,0.0105,,
0.0276,0.0112,,
0.028,0.011,,
0.0277,0.0106,,
0.028,0.0047,,
0.028,0.0109,,
0.028,0.0112,,
0.028,0.011,,
0.028,0.0105,,
0.028,0.011,,
0.028,0.0111,,
0.028,0.0115,,
0.028,0.0109,,
0.0278,0.0094,,
0.028,0.0108,,
0.028,0.0104,,
0.028,0.0112,,
0.028,0.0107,,
0.028,0.0104,,
0.028,0.011,,
0.028,0.0106,,
0.028,0.0065,,
0.028,0.0103,,
0.028,0.0105,,
0.028,0.011,,
0.028,0.0105,,
0.028,0.0109,,
0.028,0.0106,,
0.028,0.0107,,
0.028,0.0106,,
0.028,0.0109,,
0.028,0.0108,,
0.0283,0.0111,,
0.028,0.0108,,
0.028,0.0107,,
0.028,0.0109,,
0.028,0.0109,,
0.028,0.0109,,
0.028,0.0109,,
0.029,0.0112,,
0.029,0.0108,,
0.0286,0.0109,,
0.029,0.011,,
0.029,0.011,,
0.029,0.0109,,
0.029,0.011,,
0.029,0.0111,,
0.029,0.0111,,
0.029,0.0109,,
0.029,0.0108,,
0.029,0.0111,,
0.029,0.0109,,
0.029,0.011,,
0.029,0.0107,,
0.029,0.0106,,
0.029,0.0144,,
0.029,0.0109,,
0.0292,0.0111,,
0.029,0.011,,
0.029,0.011,,
0.029,0.0111,,
0.029,0.0108,,
